,job_id,customer_id,tech_name,region,city,job_type,scheduled_date,duration_minutes,success,repeat_visit,repeat_reason,notes,scheduled_time_dt,arrival_time_dt,parts_used
17,20017,2638.0,Nan,south,Concord,repair,2024-01-17,93.0,False,True,,Technician running late,2024-01-17 11:00:00,2025-12-13 08:40:00,[]
18,20018,5220.0,John Smith,east,Concord,repair,2024-04-30,92.0,True,False,,Installed new modem,2024-04-30 10:00:00,2025-12-13 13:20:00,['Fiber Ont']
19,20019,2701.0,Nan,south,Huntersville,install,2024-01-12,149.0,True,False,,Technician running late,2024-01-12 08:30:00,2025-12-13 13:20:00,"['Coax Cable', 'Modem']"
20,20020,9361.0,Liam Peterson,west,Concord,maintenence,2024-03-10,130.0,True,False,,Customer unhappy,2024-03-10 13:00:00,2025-12-13 16:40:00,[]
21,20021,7593.0,Jessica Taylor,north,Concord,maintenence,2024-04-28,40.0,True,False,,Installed new modem,2024-04-28 11:00:00,2025-12-13 14:20:00,['Fiber Ont']
22,20022,8731.0,Nan,east,Huntersville,install,2024-01-26,62.0,True,False,,,2024-01-26 08:30:00,2025-12-13 17:00:00,[]
23,20023,6314.0,Nan,north,Concord,maintenence,2024-04-30,40.0,True,False,,Installed new modem,2024-04-30 10:00:00,2025-12-13 08:50:00,[]
24,20024,2528.0,Jessica Taylor,west,Huntersville,install,2024-02-02,74.0,True,False,,Technician running late,2024-02-02 08:00:00,2025-12-13 10:00:00,[]
25,20025,2867.0,Maria Gomez,east,Concord,repair,2024-03-26,103.0,True,False,,Customer unhappy,2024-03-26 15:00:00,2025-12-13 16:20:00,[]
26,20026,5420.0,Liam Peterson,east,Huntersville,repair,2024-01-27,46.0,True,False,,Installed new modem,2024-01-27 11:00:00,2025-12-13 16:40:00,['Modem']
27,20027,2362.0,Nan,south,Concord,repair,2024-01-29,82.0,True,False,,,2024-01-29 14:00:00,2025-12-13 14:40:00,['Fiber Ont']
28,20028,3735.0,John Smith,north,Concord,install,2024-04-24,165.0,False,True,Equipment Failure,,2024-04-24 08:00:00,2025-12-13 10:20:00,['Modem']
29,20029,,Jessica Taylor,west,Huntersville,maintenence,2024-04-16,42.0,True,True,Customer Not Home,Customer unhappy,2024-04-16 16:00:00,2025-12-13 12:40:00,"['Coax Cable', 'Modem']"
30,20030,9805.0,John Smith,east,Charlotte,repair,2024-02-12,63.0,True,False,,,2024-02-12 16:00:00,2025-12-13 09:00:00,['Modem']
31,20031,7974.0,Liam Peterson,south,Huntersville,install,2024-01-27,50.0,True,False,,,2024-01-27 15:00:00,2025-12-13 10:10:00,[]
32,20032,9980.0,Jessica Taylor,south,Huntersville,maintenence,2024-03-03,41.0,True,True,,,2024-03-03 09:00:00,2025-12-13 09:50:00,"['Router', 'Coax Cable']"
33,20033,9372.0,Nan,north,Charlotte,install,2024-01-24,160.0,True,False,,,2024-01-24 12:00:00,2025-12-13 13:20:00,[]
34,20034,2778.0,Liam Peterson,east,Concord,install,2024-02-14,117.0,True,False,,Customer unhappy,2024-02-14 09:30:00,2025-12-13 09:00:00,['Fiber Ont']
35,20035,6047.0,Jessica Taylor,south,Huntersville,repair,2024-04-08,117.0,True,False,,,2024-04-08 14:00:00,2025-12-13 14:20:00,[]
36,20036,4268.0,Jessica Taylor,south,Charlotte,repair,2024-04-18,97.0,True,False,,,2024-04-18 09:00:00,2025-12-13 09:00:00,[]
37,20037,9098.0,Nan,north,Huntersville,install,2024-03-31,139.0,False,True,,Installed new modem,2024-03-31 10:00:00,2025-12-13 09:20:00,[]
38,20038,7435.0,Jessica Taylor,south,Charlotte,install,2024-03-13,68.0,True,False,,Installed new modem,2024-03-13 09:00:00,2025-12-13 10:00:00,[]
39,20039,3548.0,Maria Gomez,east,Concord,install,2024-03-07,52.0,True,True,,,2024-03-07 12:00:00,2025-12-13 09:20:00,"['Coax Cable', 'Modem']"
40,20040,5636.0,John Smith,south,Huntersville,install,2024-02-09,74.0,True,False,,Installed new modem,2024-02-09 10:00:00,2025-12-13 16:20:00,[]
41,20041,9153.0,Maria Gomez,east,Charlotte,repair,2024-04-02,79.0,True,True,,Technician running late,2024-04-02 14:00:00,2025-12-13 17:00:00,[]
42,20042,7729.0,John Smith,south,Huntersville,install,2024-02-16,141.0,False,True,,Customer unhappy,2024-02-16 12:00:00,2025-12-13 13:40:00,[]
43,20043,6314.0,John Smith,east,Concord,repair,2024-03-01,27.0,True,False,,,2024-03-01 08:30:00,2025-12-13 12:20:00,[]
44,20044,2213.0,Liam Peterson,north,Concord,repair,2024-01-11,119.0,True,False,,,2024-01-11 09:30:00,2025-12-13 09:30:00,"['Coax Cable', 'Modem']"
45,20045,1445.0,Jessica Taylor,east,Concord,repair,2024-04-07,46.0,True,False,,,2024-04-07 14:00:00,2025-12-13 07:20:00,['Splitter']
46,20046,2876.0,John Smith,south,Huntersville,install,2024-01-30,80.0,False,True,,Customer unhappy,2024-01-30 08:30:00,2025-12-13 13:20:00,['Fiber Ont']
47,20047,,Maria Gomez,east,Charlotte,repair,2024-03-17,41.0,False,False,,,2024-03-17 15:00:00,2025-12-13 14:00:00,"['Coax Cable', 'Modem']"
48,20048,5668.0,John Smith,north,Concord,maintenence,2024-03-18,167.0,False,True,Customer Not Home,Customer unhappy,2024-03-18 14:00:00,2025-12-13 08:20:00,"['Router', 'Coax Cable']"
49,20049,5009.0,Maria Gomez,east,Charlotte,maintenence,2024-03-22,39.0,True,False,,Installed new modem,2024-03-22 15:00:00,2025-12-13 08:40:00,['Splitter']
50,20050,3582.0,Maria Gomez,north,Concord,install,2024-02-28,103.0,True,False,,,2024-02-28 10:00:00,2025-12-13 16:50:00,"['Coax Cable', 'Modem']"
51,20051,5355.0,Liam Peterson,west,Concord,install,2024-03-21,95.0,True,False,,,2024-03-21 08:30:00,2025-12-13 08:00:00,"['Coax Cable', 'Modem']"
52,20052,2213.0,Liam Peterson,north,Huntersville,install,2024-03-11,121.0,True,False,,Technician running late,2024-03-11 09:30:00,2025-12-13 09:00:00,[]
53,20053,,Maria Gomez,south,Huntersville,install,2024-02-28,153.0,True,True,Customer Not Home,Installed new modem,2024-02-28 12:00:00,2025-12-13 14:20:00,[]
54,20054,,Nan,east,Huntersville,repair,2024-04-17,88.0,True,False,,,2024-04-17 13:00:00,2025-12-13 12:20:00,[]
55,20055,4915.0,Jessica Taylor,south,Concord,maintenence,2024-01-30,38.0,True,True,Signal Issue,Technician running late,2024-01-30 09:00:00,2025-12-13 08:00:00,['Splitter']
56,20056,2760.0,Nan,south,Charlotte,install,2024-01-02,80.0,True,True,,,2024-01-02 08:00:00,2025-12-13 10:20:00,[]
57,20057,5022.0,John Smith,south,Concord,install,2024-03-20,125.0,False,True,,,2024-03-20 09:30:00,2025-12-13 07:30:00,['Modem']
58,20058,9868.0,Maria Gomez,east,Charlotte,maintenence,2024-04-11,41.0,True,False,,Customer unhappy,2024-04-11 08:30:00,2025-12-13 12:40:00,['Splitter']
59,20059,5049.0,Jessica Taylor,north,Concord,install,2024-03-04,85.0,False,False,,Installed new modem,2024-03-04 13:00:00,2025-12-13 14:40:00,"['Coax Cable', 'Modem']"
60,20060,3804.0,Nan,south,Huntersville,repair,2024-03-22,30.0,False,True,,Technician running late,2024-03-22 09:30:00,2025-12-13 13:30:00,[]
61,20061,3286.0,Maria Gomez,east,Charlotte,maintenence,2024-02-05,78.0,True,False,,Technician running late,2024-02-05 08:30:00,2025-12-13 08:20:00,['Fiber Ont']
62,20062,3129.0,Maria Gomez,west,Concord,install,2024-02-09,143.0,True,False,,Customer unhappy,2024-02-09 11:00:00,2025-12-13 08:30:00,['Splitter']
63,20063,7807.0,Liam Peterson,east,Charlotte,repair,2024-04-26,97.0,False,True,,Technician running late,2024-04-26 11:00:00,2025-12-13 13:20:00,[]
64,20064,3814.0,Liam Peterson,north,Charlotte,repair,2024-03-09,80.0,True,True,,,2024-03-09 15:00:00,2025-12-13 12:30:00,['Fiber Ont']
65,20065,5113.0,Liam Peterson,south,Concord,repair,2024-03-22,28.0,True,False,,,2024-03-22 09:30:00,2025-12-13 13:10:00,['Modem']
66,20066,,John Smith,south,Huntersville,maintenence,2024-03-16,34.0,True,False,,Customer unhappy,2024-03-16 11:00:00,2025-12-13 09:40:00,[]
67,20067,5795.0,Liam Peterson,west,Charlotte,maintenence,2024-03-10,90.0,True,True,,Technician running late,2024-03-10 08:30:00,2025-12-13 08:20:00,['Fiber Ont']
68,20068,7778.0,John Smith,west,Charlotte,maintenence,2024-04-10,73.0,True,False,,Technician running late,2024-04-10 15:00:00,2025-12-13 08:00:00,['Splitter']
69,20069,3778.0,Jessica Taylor,north,Charlotte,repair,2024-04-12,67.0,True,True,Customer Not Home,Customer unhappy,2024-04-12 08:30:00,2025-12-13 09:00:00,"['Router', 'Coax Cable']"
70,20070,5347.0,Jessica Taylor,north,Concord,repair,2024-04-05,21.0,True,True,,Technician running late,2024-04-05 15:00:00,2025-12-13 12:40:00,['Fiber Ont']
71,20071,7476.0,Liam Peterson,east,Charlotte,install,2024-04-18,144.0,True,False,,,2024-04-18 09:30:00,2025-12-13 10:00:00,['Splitter']
72,20072,4964.0,Jessica Taylor,west,Huntersville,repair,2024-02-28,20.0,True,False,,Installed new modem,2024-02-28 13:00:00,2025-12-13 10:00:00,[]
73,20073,2867.0,John Smith,west,Huntersville,maintenence,2024-02-10,141.0,True,False,,Installed new modem,2024-02-10 12:00:00,2025-12-13 16:50:00,['Modem']
74,20074,4242.0,Nan,west,Concord,repair,2024-02-22,98.0,True,False,,Customer unhappy,2024-02-22 14:00:00,2025-12-13 10:00:00,['Fiber Ont']
75,20075,1591.0,Liam Peterson,west,Huntersville,maintenence,2024-01-15,179.0,True,False,,,2024-01-15 13:00:00,2025-12-13 07:50:00,[]
76,20076,5815.0,Liam Peterson,east,Huntersville,maintenence,2024-01-01,37.0,True,False,,,2024-01-01 10:00:00,2025-12-13 14:40:00,['Fiber Ont']
77,20077,8530.0,Liam Peterson,north,Huntersville,repair,2024-04-02,101.0,True,False,,,2024-04-02 08:30:00,2025-12-13 09:20:00,[]
78,20078,5743.0,Maria Gomez,south,Huntersville,repair,2024-01-28,61.0,True,False,,,2024-01-28 10:00:00,2025-12-13 09:00:00,[]
79,20079,2908.0,Maria Gomez,east,Charlotte,install,2024-02-08,48.0,True,False,,Customer unhappy,2024-02-08 13:00:00,2025-12-13 14:30:00,[]
80,20080,3229.0,Nan,south,Concord,maintenence,2024-01-10,24.0,True,True,,,2024-01-10 15:00:00,2025-12-13 08:00:00,[]
81,20081,3143.0,Jessica Taylor,east,Huntersville,maintenence,2024-04-12,42.0,True,True,,Technician running late,2024-04-12 14:00:00,2025-12-13 12:40:00,[]
82,20082,5088.0,John Smith,east,Concord,maintenence,2024-01-29,49.0,True,True,Customer Not Home,Customer unhappy,2024-01-29 14:00:00,2025-12-13 14:40:00,['Splitter']
83,20083,5014.0,Liam Peterson,south,Charlotte,maintenence,2024-04-07,164.0,True,False,,Installed new modem,2024-04-07 08:00:00,2025-12-13 14:10:00,[]
84,20084,3069.0,Maria Gomez,south,Huntersville,repair,2024-04-11,65.0,True,False,,Installed new modem,2024-04-11 14:00:00,2025-12-13 08:20:00,"['Router', 'Coax Cable']"
85,20085,3788.0,Nan,west,Concord,maintenence,2024-02-29,40.0,True,False,,,2024-02-29 12:00:00,2025-12-13 08:40:00,"['Router', 'Coax Cable']"
86,20086,4964.0,Maria Gomez,west,Concord,maintenence,2024-01-06,153.0,True,True,Customer Not Home,,2024-01-06 14:00:00,2025-12-13 12:30:00,[]
87,20087,4312.0,Liam Peterson,east,Concord,maintenence,2024-01-09,84.0,True,False,,Installed new modem,2024-01-09 13:00:00,2025-12-13 08:40:00,['Splitter']
88,20088,9539.0,Jessica Taylor,west,Huntersville,maintenence,2024-03-23,36.0,True,False,,Customer unhappy,2024-03-23 08:00:00,2025-12-13 14:20:00,['Splitter']
89,20089,9832.0,Nan,south,Charlotte,maintenence,2024-01-10,41.0,False,False,,Technician running late,2024-01-10 13:00:00,2025-12-13 09:00:00,['Splitter']
90,20090,8542.0,Jessica Taylor,north,Huntersville,install,2024-02-26,158.0,True,False,,Technician running late,2024-02-26 13:00:00,2025-12-13 13:20:00,[]
91,20091,,Nan,east,Huntersville,maintenence,2024-01-21,41.0,True,False,,Installed new modem,2024-01-21 16:00:00,2025-12-13 14:10:00,['Modem']
92,20092,5621.0,Maria Gomez,south,Concord,maintenence,2024-04-16,135.0,True,False,,Customer unhappy,2024-04-16 09:00:00,2025-12-13 09:20:00,[]
93,20093,9614.0,Liam Peterson,south,Charlotte,maintenence,2024-04-29,40.0,True,True,Equipment Failure,,2024-04-29 08:00:00,2025-12-13 16:40:00,"['Coax Cable', 'Modem']"
94,20094,1086.0,Maria Gomez,east,Charlotte,maintenence,2024-03-11,39.0,True,False,,Technician running late,2024-03-11 13:00:00,2025-12-13 10:00:00,[]
95,20095,8489.0,Liam Peterson,south,Concord,install,2024-03-21,115.0,True,True,,Customer unhappy,2024-03-21 09:00:00,2025-12-13 07:40:00,[]
96,20096,1450.0,Nan,east,Huntersville,install,2024-01-06,155.0,True,False,,Technician running late,2024-01-06 09:00:00,2025-12-13 17:00:00,['Modem']
97,20097,6594.0,John Smith,west,Concord,maintenence,2024-04-14,66.0,True,True,Customer Not Home,,2024-04-14 08:00:00,2025-12-13 12:20:00,['Fiber Ont']
98,20098,3920.0,Maria Gomez,east,Concord,maintenence,2024-04-14,33.0,True,False,,Installed new modem,2024-04-14 16:00:00,2025-12-13 12:40:00,[]
99,20099,6866.0,John Smith,north,Concord,install,2024-04-24,110.0,False,True,,,2024-04-24 10:00:00,2025-12-13 16:40:00,[]
100,20100,3600.0,Liam Peterson,east,Huntersville,repair,2024-01-11,41.0,True,False,,,2024-01-11 15:00:00,2025-12-13 13:00:00,[]
101,20101,2824.0,Maria Gomez,north,Huntersville,install,2024-01-10,150.0,False,False,,Customer unhappy,2024-01-10 12:00:00,2025-12-13 16:40:00,['Modem']
102,20102,3862.0,John Smith,east,Concord,maintenence,2024-03-27,39.0,False,True,Customer Not Home,Installed new modem,2024-03-27 15:00:00,2025-12-13 16:40:00,[]
103,20103,1583.0,Liam Peterson,east,Concord,maintenence,2024-03-04,35.0,True,True,Customer Not Home,Customer unhappy,2024-03-04 14:00:00,2025-12-13 10:00:00,"['Coax Cable', 'Modem']"
104,20104,7242.0,Maria Gomez,west,Huntersville,maintenence,2024-04-25,36.0,True,False,,Installed new modem,2024-04-25 12:00:00,2025-12-13 09:10:00,['Splitter']
105,20105,3195.0,Maria Gomez,south,Charlotte,install,2024-04-11,119.0,True,False,,,2024-04-11 14:00:00,2025-12-13 08:10:00,['Modem']
106,20106,7369.0,Maria Gomez,south,Concord,maintenence,2024-04-08,30.0,False,False,,Customer unhappy,2024-04-08 13:00:00,2025-12-13 09:10:00,[]
107,20107,5230.0,John Smith,east,Charlotte,maintenence,2024-02-08,108.0,True,False,,Technician running late,2024-02-08 08:30:00,2025-12-13 14:40:00,['Fiber Ont']
108,20108,6439.0,Jessica Taylor,east,Concord,repair,2024-03-05,78.0,True,False,,Technician running late,2024-03-05 08:00:00,2025-12-13 14:10:00,"['Router', 'Coax Cable']"
109,20109,1750.0,Nan,north,Concord,install,2024-03-04,176.0,True,False,,Customer unhappy,2024-03-04 12:00:00,2025-12-13 13:40:00,"['Router', 'Coax Cable']"
110,20110,4205.0,Nan,south,Charlotte,maintenence,2024-03-18,30.0,True,True,,Installed new modem,2024-03-18 12:00:00,2025-12-13 16:40:00,['Modem']
111,20111,1708.0,Jessica Taylor,east,Huntersville,install,2024-01-19,46.0,False,False,,Customer unhappy,2024-01-19 13:00:00,2025-12-13 08:20:00,[]
112,20112,8170.0,Liam Peterson,south,Huntersville,repair,2024-03-04,24.0,True,False,,,2024-03-04 10:00:00,2025-12-13 08:50:00,"['Router', 'Coax Cable']"
113,20113,,John Smith,south,Huntersville,install,2024-04-18,148.0,True,False,,Technician running late,2024-04-18 09:00:00,2025-12-13 09:40:00,"['Router', 'Coax Cable']"
114,20114,5914.0,John Smith,east,Charlotte,maintenence,2024-03-05,40.0,True,False,,Customer unhappy,2024-03-05 13:00:00,2025-12-13 13:20:00,[]
115,20115,,Nan,east,Charlotte,install,2024-01-18,145.0,True,True,,Customer unhappy,2024-01-18 11:00:00,2025-12-13 12:20:00,[]
116,20116,1573.0,Liam Peterson,west,Concord,install,2024-03-31,157.0,True,False,,,2024-03-31 16:00:00,2025-12-13 12:50:00,[]
117,20117,,Liam Peterson,south,Concord,install,2024-03-15,84.0,True,False,,Installed new modem,2024-03-15 09:00:00,2025-12-13 14:20:00,"['Coax Cable', 'Modem']"
118,20118,3831.0,Maria Gomez,south,Huntersville,install,2024-04-21,121.0,True,True,Equipment Failure,Technician running late,2024-04-21 08:00:00,2025-12-13 14:20:00,"['Coax Cable', 'Modem']"
119,20119,4893.0,Nan,east,Concord,install,2024-01-25,100.0,True,False,,Installed new modem,2024-01-25 09:00:00,2025-12-13 13:30:00,"['Coax Cable', 'Modem']"
120,20120,6952.0,Nan,east,Huntersville,repair,2024-03-14,57.0,False,False,,Installed new modem,2024-03-14 10:00:00,2025-12-13 10:10:00,['Modem']
121,20121,9042.0,Jessica Taylor,south,Charlotte,install,2024-04-15,170.0,True,False,,Customer unhappy,2024-04-15 09:00:00,2025-12-13 13:40:00,['Fiber Ont']
122,20122,9322.0,Nan,west,Concord,install,2024-01-13,48.0,True,False,,,2024-01-13 08:00:00,2025-12-13 08:00:00,[]
123,20123,3119.0,John Smith,east,Charlotte,maintenence,2024-04-22,30.0,False,True,,Installed new modem,2024-04-22 10:00:00,2025-12-13 08:20:00,['Modem']
124,20124,5417.0,Jessica Taylor,south,Charlotte,install,2024-02-04,45.0,True,False,,Installed new modem,2024-02-04 15:00:00,2025-12-13 09:20:00,[]
125,20125,2753.0,Liam Peterson,north,Huntersville,maintenence,2024-01-12,30.0,True,True,Customer Not Home,Customer unhappy,2024-01-12 12:00:00,2025-12-13 08:50:00,[]
126,20126,,John Smith,east,Concord,install,2024-02-03,142.0,True,False,,,2024-02-03 12:00:00,2025-12-13 08:10:00,[]
127,20127,3119.0,Jessica Taylor,south,Charlotte,maintenence,2024-03-02,39.0,True,True,,Technician running late,2024-03-02 16:00:00,2025-12-13 12:50:00,['Modem']
128,20128,9427.0,Liam Peterson,west,Charlotte,install,2024-03-14,177.0,True,True,Equipment Failure,,2024-03-14 14:00:00,2025-12-13 14:20:00,"['Coax Cable', 'Modem']"
129,20129,2149.0,Maria Gomez,east,Huntersville,maintenence,2024-03-06,30.0,False,False,,Customer unhappy,2024-03-06 15:00:00,2025-12-13 12:30:00,"['Router', 'Coax Cable']"
130,20130,8073.0,Maria Gomez,west,Concord,repair,2024-03-10,119.0,True,False,,Installed new modem,2024-03-10 15:00:00,2025-12-13 08:50:00,[]
131,20131,6474.0,Jessica Taylor,north,Huntersville,repair,2024-03-28,95.0,True,False,,,2024-03-28 09:00:00,2025-12-13 14:40:00,['Fiber Ont']
132,20132,3286.0,Liam Peterson,north,Concord,maintenence,2024-04-15,40.0,True,True,Signal Issue,,2024-04-15 12:00:00,2025-12-13 07:50:00,"['Router', 'Coax Cable']"
133,20133,,John Smith,west,Charlotte,install,2024-02-27,155.0,True,False,,Customer unhappy,2024-02-27 08:00:00,2025-12-13 08:20:00,"['Router', 'Coax Cable']"
134,20134,9698.0,Maria Gomez,west,Concord,maintenence,2024-01-31,41.0,True,True,,,2024-01-31 09:30:00,2025-12-13 14:40:00,['Splitter']
135,20135,7531.0,Nan,north,Concord,maintenence,2024-03-30,38.0,True,True,Equipment Failure,Customer unhappy,2024-03-30 09:30:00,2025-12-13 09:50:00,[]
136,20136,6474.0,Liam Peterson,north,Huntersville,maintenence,2024-02-19,32.0,True,False,,,2024-02-19 10:00:00,2025-12-13 13:20:00,['Fiber Ont']
137,20137,9345.0,Maria Gomez,east,Charlotte,install,2024-04-12,46.0,False,True,Equipment Failure,,2024-04-12 12:00:00,2025-12-13 07:40:00,['Modem']
138,20138,,Liam Peterson,south,Concord,maintenence,2024-04-09,38.0,True,False,,,2024-04-09 12:00:00,2025-12-13 10:00:00,"['Coax Cable', 'Modem']"
139,20139,5095.0,John Smith,west,Charlotte,maintenence,2024-02-10,37.0,False,True,,Installed new modem,2024-02-10 16:00:00,2025-12-13 08:20:00,['Fiber Ont']
140,20140,9246.0,Liam Peterson,south,Huntersville,maintenence,2024-02-02,35.0,True,True,,Customer unhappy,2024-02-02 09:30:00,2025-12-13 12:20:00,"['Coax Cable', 'Modem']"
141,20141,4217.0,John Smith,east,Charlotte,install,2024-04-07,172.0,True,False,,Installed new modem,2024-04-07 12:00:00,2025-12-13 10:00:00,"['Coax Cable', 'Modem']"
142,20142,,John Smith,south,Charlotte,install,2024-03-09,114.0,True,False,,Customer unhappy,2024-03-09 16:00:00,2025-12-13 10:20:00,[]
143,20143,7233.0,Maria Gomez,north,Charlotte,install,2024-03-20,82.0,True,False,,Customer unhappy,2024-03-20 09:00:00,2025-12-13 13:00:00,['Fiber Ont']
144,20144,7513.0,John Smith,east,Charlotte,maintenence,2024-02-18,22.0,True,False,,Technician running late,2024-02-18 11:00:00,2025-12-13 12:20:00,[]
145,20145,8698.0,Maria Gomez,south,Concord,install,2024-02-04,167.0,True,False,,Technician running late,2024-02-04 08:30:00,2025-12-13 09:40:00,['Fiber Ont']
146,20146,7997.0,Liam Peterson,west,Huntersville,maintenence,2024-03-13,118.0,True,False,,Customer unhappy,2024-03-13 15:00:00,2025-12-13 10:00:00,[]
147,20147,7373.0,Maria Gomez,north,Huntersville,install,2024-03-22,173.0,True,False,,,2024-03-22 14:00:00,2025-12-13 12:40:00,[]
148,20148,2196.0,Maria Gomez,west,Charlotte,repair,2024-01-20,94.0,True,False,,Installed new modem,2024-01-20 10:00:00,2025-12-13 14:30:00,"['Coax Cable', 'Modem']"
149,20149,9189.0,Liam Peterson,west,Charlotte,maintenence,2024-02-27,32.0,True,False,,,2024-02-27 11:00:00,2025-12-13 10:20:00,[]
150,20150,,Maria Gomez,north,Charlotte,install,2024-03-14,71.0,True,False,,,2024-03-14 09:30:00,2025-12-13 15:10:00,['Splitter']
151,20151,3778.0,Jessica Taylor,north,Huntersville,install,2024-04-10,160.0,True,False,,Installed new modem,2024-04-10 16:00:00,2025-12-13 16:40:00,['Splitter']
152,20152,1445.0,John Smith,north,Huntersville,install,2024-02-12,82.0,False,True,,Installed new modem,2024-02-12 15:00:00,2025-12-13 14:40:00,[]
153,20153,8422.0,Liam Peterson,south,Huntersville,maintenence,2024-02-05,71.0,True,False,,,2024-02-05 12:00:00,2025-12-13 16:40:00,"['Router', 'Coax Cable']"
154,20154,1721.0,Liam Peterson,east,Concord,repair,2024-04-14,94.0,True,False,,,2024-04-14 14:00:00,2025-12-13 12:40:00,[]
155,20155,,Liam Peterson,north,Concord,maintenence,2024-03-10,32.0,True,True,,Technician running late,2024-03-10 12:00:00,2025-12-13 17:20:00,"['Router', 'Coax Cable']"
156,20156,2909.0,Jessica Taylor,north,Charlotte,install,2024-01-13,62.0,True,False,,Installed new modem,2024-01-13 08:00:00,2025-12-13 08:00:00,['Splitter']
157,20157,5347.0,Nan,east,Huntersville,repair,2024-01-15,69.0,True,False,,,2024-01-15 08:00:00,2025-12-13 16:40:00,['Modem']
158,20158,9189.0,Nan,east,Charlotte,repair,2024-01-03,118.0,True,False,,,2024-01-03 14:00:00,2025-12-13 09:20:00,[]
159,20159,9042.0,Jessica Taylor,north,Charlotte,maintenence,2024-02-20,30.0,True,True,Equipment Failure,Installed new modem,2024-02-20 16:00:00,2025-12-13 08:20:00,['Fiber Ont']
160,20160,2081.0,Maria Gomez,north,Huntersville,maintenence,2024-01-26,30.0,True,True,,Installed new modem,2024-01-26 14:00:00,2025-12-13 09:40:00,['Modem']
161,20161,2946.0,John Smith,north,Concord,repair,2024-04-27,31.0,False,True,,Customer unhappy,2024-04-27 09:30:00,2025-12-13 09:20:00,[]
162,20162,1694.0,Nan,north,Concord,maintenence,2024-02-24,31.0,True,True,Equipment Failure,,2024-02-24 14:00:00,2025-12-13 12:30:00,[]
163,20163,3862.0,Maria Gomez,south,Charlotte,install,2024-04-14,75.0,True,False,,Customer unhappy,2024-04-14 09:00:00,2025-12-13 12:20:00,"['Router', 'Coax Cable']"
164,20164,9374.0,John Smith,south,Concord,repair,2024-01-22,52.0,True,False,,Technician running late,2024-01-22 12:00:00,2025-12-13 12:30:00,"['Coax Cable', 'Modem']"
165,20165,7276.0,Liam Peterson,south,Huntersville,install,2024-02-27,136.0,True,False,,Technician running late,2024-02-27 11:00:00,2025-12-13 16:30:00,[]
166,20166,3876.0,Liam Peterson,north,Charlotte,install,2024-04-13,148.0,True,False,,Technician running late,2024-04-13 13:00:00,2025-12-13 16:50:00,[]
