job_id,customer_id,tech_name,region,city,job_type,scheduled_date,scheduled_time,arrival_time,duration_minutes,success,repeat_visit,repeat_reason,parts_used,notes
20035,8758,Liam Peterson,South,huntersvill,reapir,2024/04/08,14:22,9:00am,61,Yes,Y,,,
20036,4249,Liam Peterson,South,Charlotte,reapir,04-18-2024,9:00am,8:15 AM,,yes,Yes,,None,
20037,,J. Smith,Noth,Huntersville,Instal,03/31/24,09:5 AM,14:22,89,no,N,N/A,N/A,Installed new modem
20038,5022,Maria Gomez,Suth,charlotte,Instal,03-13-2024,09:5 AM,16:40,N/A,No,N,Equipment Failure,None,Installed new modem
20039,,,east,Concord,Install,03/07/24,9:00am,07:50,145,No,,N/A,coax cable; modem,
20040,1282,Maria Gomez,South,huntersvill,install,02-09-2024,16:40,12:3 pm,N/A,no,,,None,Installed new modem
20041,,Maria Gomez,east,charlotte,Repair,04/02/24,16:40,9:00am,,No,,N/A,N/A,Technician running late
20042,,J. Smith,South,Huntersville,install,02/16/24,1:15 pm,8:15 AM,N/A,Yes,Yes,,N/A,Customer unhappy
20043,9042,,East,Concord,reapir,2024-3-1,12:3 pm,16:40,N/A,no,Yes,Signal Issue,,
20044,2213,J Smith,North,Concord,reapir,01/11/24,9:00am,09:5 AM,172,No,,N/A,coax cable; modem,
20045,,Maria Gomez,East,Concord,Repair,04/07/24,07:50,1:15 pm,,No,,Signal Issue,Splitter,
20046,,Jess T.,Suth,Huntersville,Install,2024/01/30,1:15 pm,12:3 pm,N/A,No,N,Signal Issue,Fiber ONT,Customer unhappy
20047,N/A,J. Smith,East,charlotte,reapir,03-17-2024,1:15 pm,12:3 pm,N/A,no,Y,,coax cable; modem,
20048,2317,,Noth,concord,maintenence,2024/03/18,8:15 AM,9:00am,167,Yes,,Customer Not Home,Router;Coax Cable,Customer unhappy
20049,,,east,charlotte,Maint.,2024-3-22,9:00am,12:3 pm,N/A,yes,,Signal Issue,Splitter,Installed new modem
20050,,Maria Gomez,Noth,Concord,Install,2024-02-28,16:40,1:15 pm,,Yes,,,coax cable; modem,
20051,N/A,L P,WEST,Concord,Instal,2024-3-21,8:15 AM,07:50,,yes,N,,coax cable; modem,
20052,N/A,Jess T.,North,Huntersville,Install,2024-3-11,9:00am,07:50,49,No,N,,N/A,Technician running late
20053,,,Suth,huntersvill,install,02-28-2024,14:22,09:5 AM,173,No,Yes,Customer Not Home,,Installed new modem
20054,,,East,Huntersville,reapir,04-17-2024,12:3 pm,14:22,,yes,Y,,,
20055,N/A,Jess T.,South,Concord,Maint.,2024-1-30,8:15 AM,16:40,,No,N,Signal Issue,Splitter,Technician running late
20056,6439,,Suth,Charlotte,Instal,01/02/24,09:5 AM,14:22,N/A,yes,,,,
20057,,M. Gomez,Suth,Concord,Install,2024-03-20,07:50,1:15 pm,,Yes,,,Modem,
20058,,,East,Charlotte,maintenence,2024-04-11,1:15 pm,16:40,,No,,N/A,Splitter,Customer unhappy
20059,3868,Liam Peterson,Noth,Concord,install,03-04-2024,14:22,07:50,,yes,,Signal Issue,coax cable; modem,Installed new modem
20060,N/A,J. Smith,Suth,Huntersville,reapir,2024-3-22,1:15 pm,12:3 pm,,no,Yes,Equipment Failure,,Technician running late
20061,,Jess T.,east,Charlotte,Maint.,2024-02-05,8:15 AM,12:3 pm,78,yes,No,,Fiber ONT,Technician running late
20062,N/A,Jessica T,West,concord,Install,2024-2-9,8:15 AM,16:40,N/A,yes,,N/A,Splitter,Customer unhappy
20063,,L P,east,charlotte,reapir,2024-4-26,1:15 pm,16:40,49,No,No,,,Technician running late
20064,6992,J. Taylor,Noth,Charlotte,reapir,2024-03-09,12:3 pm,16:40,,yes,Yes,,Fiber ONT,
20065,,,South,concord,Repair,2024-3-22,1:15 pm,09:5 AM,49,Yes,Y,N/A,Modem,
20066,N/A,Maria G,Suth,Huntersville,Maint.,03/16/24,09:5 AM,9:00am,,yes,Yes,,None,Customer unhappy
20067,,John S.,WEST,Charlotte,maintenence,2024/03/10,8:15 AM,09:5 AM,90,no,Yes,,Fiber ONT,Technician running late
20068,1349,J. Taylor,WEST,charlotte,Maintenance,04-10-2024,07:50,9:00am,73,No,No,Customer Not Home,Splitter,Technician running late
20069,,,North,charlotte,reapir,04/12/24,9:00am,8:15 AM,N/A,No,,Customer Not Home,Router;Coax Cable,Customer unhappy
20070,5347,J Smith,Noth,Concord,Repair,2024-04-05,12:3 pm,12:3 pm,151,Yes,N,,Fiber ONT,Technician running late
20071,,Liam P.,East,Charlotte,Instal,2024-4-18,09:5 AM,9:00am,145,Yes,Y,,Splitter,
20072,,Liam Peterson,WEST,huntersvill,reapir,02-28-2024,09:5 AM,9:00am,,no,N,Equipment Failure,,Installed new modem
20073,,Maria G,West,Huntersville,Maint.,2024/02/10,16:40,14:22,141,Yes,Yes,N/A,Modem,Installed new modem
20074,3131,Liam Peterson,WEST,concord,Repair,2024/02/22,09:5 AM,8:15 AM,N/A,yes,Yes,,Fiber ONT,Customer unhappy
20075,N/A,,West,Huntersville,maintenence,2024/01/15,07:50,09:5 AM,179,Yes,,,N/A,
20076,,Jess T.,east,Huntersville,maintenence,01/01/24,14:22,09:5 AM,37,Yes,,,Fiber ONT,
20077,,M. Gomez,North,Huntersville,reapir,2024/04/02,9:00am,8:15 AM,60,Yes,,Signal Issue,N/A,
20078,,Liam Peterson,Suth,huntersvill,reapir,01-28-2024,9:00am,16:40,N/A,no,,,N/A,
20079,,Liam Peterson,East,Charlotte,install,02/08/24,14:22,1:15 pm,94,Yes,N,,,Customer unhappy
20080,,L P,South,Concord,maintenence,2024-1-10,8:15 AM,09:5 AM,24,yes,,N/A,,
20081,5743,Maria G,East,Huntersville,Maintenance,04-12-2024,12:3 pm,16:40,42,No,N,,,Technician running late
20082,,,east,concord,maintenence,2024/01/29,14:22,9:00am,49,No,Y,Customer Not Home,Splitter,Customer unhappy
20083,N/A,Maria Gomez,South,charlotte,Maintenance,2024-04-07,14:22,12:3 pm,164,no,,,None,Installed new modem
20084,,J. Smith,Suth,huntersvill,reapir,2024/04/11,8:15 AM,16:40,N/A,no,N,Signal Issue,Router;Coax Cable,Installed new modem
20085,5703,Jessica T,West,Concord,Maint.,02-29-2024,8:15 AM,12:3 pm,N/A,no,,Equipment Failure,Router;Coax Cable,
20086,,Jess T.,West,Concord,Maintenance,01/06/24,12:3 pm,12:3 pm,153,No,Y,Customer Not Home,N/A,
20087,,Jessica T,East,concord,maintenence,2024/01/09,9:00am,09:5 AM,84,No,Y,Signal Issue,Splitter,Installed new modem
20088,,J Smith,West,Huntersville,Maint.,2024/03/23,14:22,9:00am,N/A,Yes,Y,Customer Not Home,Splitter,Customer unhappy
20089,,John S.,South,charlotte,Maintenance,2024/01/10,9:00am,8:15 AM,,no,No,Equipment Failure,Splitter,Technician running late
20090,,John Smith,Noth,Huntersville,install,02-26-2024,1:15 pm,12:3 pm,,yes,N,Equipment Failure,None,Technician running late
20091,,J. Taylor,east,huntersvill,Maint.,01/21/24,14:22,1:15 pm,N/A,Yes,,,Modem,Installed new modem
20092,N/A,Maria Gomez,Suth,Concord,Maintenance,2024-4-16,9:00am,07:50,135,no,Yes,N/A,None,Customer unhappy
20093,7326,M. Gomez,South,Charlotte,maintenence,2024-04-29,16:40,14:22,N/A,no,,Equipment Failure,coax cable; modem,
20094,1086,John Smith,east,charlotte,Maintenance,03-11-2024,09:5 AM,9:00am,N/A,Yes,Yes,Equipment Failure,,Technician running late
20095,8489,J. Smith,Suth,Concord,Install,03-21-2024,07:50,14:22,94,yes,No,,,Customer unhappy
20096,,J. Smith,East,huntersvill,Instal,2024-1-6,16:40,1:15 pm,24,yes,No,,Modem,Technician running late
20097,N/A,John Smith,WEST,Concord,maintenence,04/14/24,12:3 pm,12:3 pm,66,no,Yes,Customer Not Home,Fiber ONT,
20098,4268,M. Gomez,east,Concord,Maint.,04-14-2024,12:3 pm,1:15 pm,N/A,yes,Yes,,None,Installed new modem
20099,,Maria G,Noth,concord,Instal,2024-4-24,16:40,14:22,N/A,yes,Yes,,,
20100,N/A,L P,east,Huntersville,Repair,2024/01/11,1:15 pm,1:15 pm,,No,,N/A,None,
20101,,Liam Peterson,Noth,Huntersville,Install,2024-1-10,16:40,14:22,56,no,Yes,Equipment Failure,Modem,Customer unhappy
20102,,Maria G,East,Concord,Maintenance,2024-3-27,16:40,16:40,39,No,,Customer Not Home,,Installed new modem
20103,N/A,J. Smith,East,concord,Maintenance,03-04-2024,09:5 AM,9:00am,,No,,Customer Not Home,coax cable; modem,Customer unhappy
20104,N/A,,West,huntersvill,Maintenance,2024-4-25,9:00am,16:40,36,yes,Y,Equipment Failure,Splitter,Installed new modem
20105,N/A,J. Smith,South,charlotte,install,2024-4-11,8:15 AM,16:40,N/A,no,,Equipment Failure,Modem,
20106,,Jess T.,Suth,Concord,Maint.,2024-4-8,9:00am,14:22,,no,,,None,Customer unhappy
20107,N/A,Maria G,East,Charlotte,Maintenance,02/08/24,14:22,16:40,108,yes,Yes,Customer Not Home,Fiber ONT,Technician running late
20108,N/A,Jessica T,east,Concord,Repair,03/05/24,14:22,14:22,N/A,Yes,Yes,Signal Issue,Router;Coax Cable,Technician running late
20109,N/A,J. Taylor,Noth,Concord,Install,03-04-2024,1:15 pm,1:15 pm,,yes,N,Signal Issue,Router;Coax Cable,Customer unhappy
20110,,Liam P.,Suth,charlotte,maintenence,03/18/24,16:40,16:40,,yes,,,Modem,Installed new modem
20111,,J. Smith,east,huntersvill,install,2024-01-19,8:15 AM,1:15 pm,,No,No,Customer Not Home,None,Customer unhappy
20112,,L P,Suth,huntersvill,reapir,2024-03-04,9:00am,09:5 AM,,No,,Customer Not Home,Router;Coax Cable,
20113,,Liam Peterson,Suth,Huntersville,Install,2024-04-18,09:5 AM,14:22,,yes,Yes,N/A,Router;Coax Cable,Technician running late
20114,,L P,east,Charlotte,Maint.,2024-3-5,1:15 pm,9:00am,,yes,Y,,None,Customer unhappy
20115,,L P,East,Charlotte,Install,2024/01/18,12:3 pm,12:3 pm,175,No,Y,,None,Customer unhappy
20116,,Liam Peterson,WEST,Concord,Instal,03-31-2024,1:15 pm,12:3 pm,N/A,Yes,N,,N/A,
20117,,Jessica T,South,concord,Install,2024-3-15,14:22,09:5 AM,57,Yes,No,Signal Issue,coax cable; modem,Installed new modem
20118,N/A,Maria G,South,huntersvill,Instal,2024-04-21,14:22,07:50,,no,Y,Equipment Failure,coax cable; modem,Technician running late
20119,,Jessica T,east,Concord,Instal,01/25/24,1:15 pm,1:15 pm,N/A,No,,,coax cable; modem,Installed new modem
20120,,L P,east,Huntersville,Repair,03-14-2024,09:5 AM,09:5 AM,N/A,Yes,Y,,Modem,Installed new modem
20121,,Jess T.,Suth,charlotte,install,04-15-2024,1:15 pm,1:15 pm,47,No,No,Signal Issue,Fiber ONT,Customer unhappy
20122,1860,Maria G,WEST,concord,Instal,01/13/24,8:15 AM,14:22,,No,Y,Customer Not Home,N/A,
20123,N/A,L P,East,charlotte,Maint.,04/22/24,8:15 AM,09:5 AM,N/A,Yes,Yes,Customer Not Home,Modem,Installed new modem
20124,,Jessica T,Suth,charlotte,Instal,02/04/24,9:00am,16:40,N/A,No,Yes,,None,Installed new modem
20125,N/A,Liam Peterson,Noth,huntersvill,maintenence,2024-1-12,9:00am,14:22,N/A,No,Yes,Customer Not Home,,Customer unhappy
20126,,M. Gomez,east,Concord,Install,2024/02/03,07:50,8:15 AM,N/A,No,N,,N/A,
20127,,Liam Peterson,South,charlotte,Maintenance,03/02/24,12:3 pm,16:40,,No,No,,Modem,Technician running late
20128,,J. Smith,West,Charlotte,install,03-14-2024,14:22,14:22,,Yes,,Equipment Failure,coax cable; modem,
20129,,J. Taylor,East,huntersvill,Maintenance,2024-3-6,12:3 pm,8:15 AM,N/A,Yes,N,Customer Not Home,Router;Coax Cable,Customer unhappy
20130,2196,Maria G,WEST,concord,Repair,2024-03-10,9:00am,12:3 pm,,No,No,,,Installed new modem
20131,,,Noth,huntersvill,Repair,03-28-2024,14:22,16:40,65,no,,Equipment Failure,Fiber ONT,
20132,,Liam P.,Noth,Concord,Maint.,04/15/24,07:50,12:3 pm,N/A,No,,Signal Issue,Router;Coax Cable,
20133,N/A,John S.,West,Charlotte,Install,02-27-2024,8:15 AM,07:50,,No,,Equipment Failure,Router;Coax Cable,Customer unhappy
20134,,John S.,WEST,Concord,maintenence,2024/01/31,14:22,07:50,N/A,Yes,,,Splitter,
20135,9120,M. Gomez,Noth,Concord,maintenence,2024-3-30,09:5 AM,14:22,,no,No,Equipment Failure,N/A,Customer unhappy
20136,8586,L P,Noth,huntersvill,Maintenance,02/19/24,1:15 pm,07:50,,yes,Yes,,Fiber ONT,
20137,,Jessica T,East,Charlotte,install,04-12-2024,07:50,12:3 pm,N/A,Yes,No,Equipment Failure,Modem,
20138,N/A,Maria G,South,Concord,maintenence,2024/04/09,09:5 AM,12:3 pm,N/A,yes,Y,,coax cable; modem,
20139,,J. Taylor,WEST,charlotte,maintenence,2024-2-10,8:15 AM,07:50,N/A,no,Y,Equipment Failure,Fiber ONT,Installed new modem
20140,,Liam Peterson,South,huntersvill,maintenence,2024-2-2,12:3 pm,12:3 pm,,No,,,coax cable; modem,Customer unhappy
20141,9882,L P,East,Charlotte,Install,2024-04-07,09:5 AM,14:22,,Yes,No,,coax cable; modem,Installed new modem
20142,,Jessica T,Suth,Charlotte,Install,03-09-2024,09:5 AM,8:15 AM,N/A,yes,Yes,,,Customer unhappy
20143,2753,L P,North,charlotte,install,03-20-2024,1:15 pm,16:40,88,yes,N,N/A,Fiber ONT,Customer unhappy
20144,5914,Jessica T,East,Charlotte,Maint.,2024-2-18,12:3 pm,8:15 AM,22,no,N,,None,Technician running late
20145,2562,John S.,South,concord,Instal,2024-02-04,9:00am,1:15 pm,159,No,Y,Signal Issue,Fiber ONT,Technician running late
20146,,,West,Huntersville,Maintenance,03/13/24,09:5 AM,16:40,118,yes,Yes,Signal Issue,,Customer unhappy
20147,,Liam Peterson,Noth,Huntersville,Install,2024/03/22,12:3 pm,12:3 pm,111,no,N,Equipment Failure,,
20148,N/A,Jess T.,West,Charlotte,reapir,2024-1-20,14:22,09:5 AM,101,Yes,Yes,Customer Not Home,coax cable; modem,Installed new modem
20149,5419,J Smith,West,charlotte,Maint.,02-27-2024,09:5 AM,9:00am,N/A,Yes,,,None,
20150,,Maria G,Noth,Charlotte,install,03-14-2024,14:22,09:5 AM,N/A,yes,Y,N/A,Splitter,
20151,,Maria Gomez,Noth,Huntersville,Instal,2024-04-10,16:40,1:15 pm,,No,N,Signal Issue,Splitter,Installed new modem
20152,,M. Gomez,Noth,Huntersville,Instal,2024-2-12,14:22,1:15 pm,,no,Y,Equipment Failure,,Installed new modem
20153,,Liam Peterson,South,Huntersville,Maint.,2024-2-5,16:40,9:00am,71,No,,,Router;Coax Cable,
20154,,J. Taylor,east,concord,Repair,2024-4-14,12:3 pm,14:22,N/A,No,,N/A,,
20155,,Liam Peterson,Noth,Concord,Maint.,2024-03-10,16:40,9:00am,N/A,No,,,Router;Coax Cable,Technician running late
20156,,J. Taylor,Noth,Charlotte,Install,2024/01/13,07:50,07:50,,no,,,Splitter,Installed new modem
20157,,J. Smith,east,huntersvill,Repair,01/15/24,16:40,1:15 pm,,no,Y,N/A,Modem,
20158,,J. Smith,east,Charlotte,Repair,2024/01/03,9:00am,14:22,,No,Y,,,
20159,,Jessica T,North,charlotte,Maint.,2024-02-20,07:50,12:3 pm,,Yes,,Equipment Failure,Fiber ONT,Installed new modem
20160,2025,J. Taylor,North,Huntersville,maintenence,2024-1-26,9:00am,1:15 pm,N/A,no,,N/A,Modem,Installed new modem
20161,,Liam Peterson,North,concord,reapir,04-27-2024,9:00am,14:22,,yes,Yes,Equipment Failure,None,Customer unhappy
20162,,Maria G,North,Concord,Maint.,02/24/24,12:3 pm,14:22,,yes,No,Equipment Failure,None,
20163,,John Smith,Suth,charlotte,install,2024-4-14,12:3 pm,09:5 AM,,no,No,Signal Issue,Router;Coax Cable,Customer unhappy
20164,5785,Maria Gomez,South,Concord,reapir,2024-1-22,12:3 pm,9:00am,N/A,yes,,Signal Issue,coax cable; modem,Technician running late
20165,,J. Smith,South,Huntersville,Install,2024/02/27,16:40,9:00am,,No,,,None,Technician running late
20166,N/A,Liam Peterson,North,charlotte,install,2024-04-13,16:40,1:15 pm,,yes,,Customer Not Home,N/A,Technician running late
20167,5380,J Smith,Noth,Charlotte,reapir,04/20/24,14:22,07:50,,no,N,Equipment Failure,N/A,
20168,,J. Smith,West,huntersvill,reapir,2024/03/29,12:3 pm,12:3 pm,103,Yes,,N/A,None,
20169,,John S.,Noth,charlotte,Instal,2024/02/04,1:15 pm,16:40,,no,Y,,Router;Coax Cable,
20170,,John Smith,West,charlotte,Instal,2024-02-28,09:5 AM,07:50,,yes,Yes,,None,Installed new modem
20171,,Jessica T,North,Charlotte,Maint.,2024/03/21,07:50,09:5 AM,43,No,N,Signal Issue,Splitter,Technician running late
20172,,John Smith,East,concord,maintenence,2024-04-14,09:5 AM,14:22,,no,Yes,,Modem,
20173,,,east,charlotte,Maint.,04/09/24,14:22,9:00am,155,No,N,Customer Not Home,Fiber ONT,Customer unhappy
20174,,,South,Charlotte,Repair,2024-01-18,09:5 AM,16:40,,No,Y,,Modem,Customer unhappy
20175,5668,,east,charlotte,install,2024-4-5,1:15 pm,8:15 AM,,Yes,No,N/A,Modem,Technician running late
20176,,,WEST,charlotte,Maint.,04-20-2024,09:5 AM,16:40,,Yes,Yes,,Modem,
20177,N/A,John Smith,East,huntersvill,reapir,03-21-2024,09:5 AM,09:5 AM,41,No,Y,Signal Issue,N/A,
20178,N/A,J. Taylor,North,Concord,maintenence,02-20-2024,9:00am,1:15 pm,131,No,Yes,N/A,Modem,
20179,,Jessica T,North,Charlotte,Install,03/31/24,8:15 AM,14:22,108,yes,No,Customer Not Home,Splitter,Installed new modem
20180,2934,M. Gomez,Noth,Huntersville,Repair,02-03-2024,9:00am,12:3 pm,N/A,Yes,N,,Splitter,Installed new modem
20181,,J. Taylor,West,Concord,Repair,01-30-2024,8:15 AM,8:15 AM,23,no,Y,N/A,Splitter,Customer unhappy
20182,,John S.,WEST,charlotte,Maint.,2024/04/27,1:15 pm,9:00am,166,Yes,No,Equipment Failure,Router;Coax Cable,
20183,,,east,Huntersville,maintenence,01-12-2024,12:3 pm,8:15 AM,N/A,yes,,,Fiber ONT,
20184,,J. Taylor,South,concord,install,2024-01-20,09:5 AM,8:15 AM,N/A,Yes,Y,Signal Issue,,Installed new modem
20185,N/A,L P,South,huntersvill,Instal,01/08/24,1:15 pm,9:00am,79,no,,Customer Not Home,coax cable; modem,
20186,N/A,Jessica T,Noth,Charlotte,Install,02/25/24,07:50,1:15 pm,,yes,Y,N/A,N/A,Customer unhappy
20187,N/A,J Smith,West,charlotte,Repair,2024-1-22,12:3 pm,16:40,50,yes,No,N/A,N/A,
20188,5341,J. Smith,North,concord,reapir,04-15-2024,8:15 AM,07:50,103,No,Y,N/A,Router;Coax Cable,Installed new modem
20189,N/A,John Smith,Noth,huntersvill,install,2024-1-13,9:00am,14:22,51,No,No,Equipment Failure,,Installed new modem
20190,,,West,Charlotte,Repair,2024-1-26,14:22,9:00am,104,no,Yes,Equipment Failure,,
20191,9128,Maria G,Noth,charlotte,maintenence,01/28/24,1:15 pm,1:15 pm,134,No,,Customer Not Home,coax cable; modem,
20192,8848,J. Smith,east,huntersvill,Maintenance,02/23/24,07:50,8:15 AM,,no,Y,,None,
20193,N/A,John Smith,WEST,Concord,install,2024/01/04,8:15 AM,12:3 pm,111,No,No,Signal Issue,Fiber ONT,Customer unhappy
20194,5366,J. Taylor,South,Concord,Maint.,02/15/24,14:22,07:50,N/A,Yes,,,None,Technician running late
20195,N/A,,Suth,Concord,reapir,2024-1-23,8:15 AM,9:00am,79,No,Yes,,coax cable; modem,
20196,N/A,J. Taylor,North,Huntersville,Maintenance,2024/04/27,8:15 AM,8:15 AM,,Yes,,Customer Not Home,Modem,Installed new modem
20197,7481,M. Gomez,east,Huntersville,Maintenance,2024-1-21,12:3 pm,16:40,163,yes,No,,Splitter,
20198,,J Smith,North,concord,Install,03-30-2024,09:5 AM,8:15 AM,N/A,No,,,Modem,
20199,,Jess T.,West,charlotte,maintenence,02/10/24,9:00am,16:40,N/A,No,No,,Modem,Installed new modem
20200,5205,Jess T.,East,Charlotte,Maint.,2024-2-26,14:22,09:5 AM,N/A,no,Yes,N/A,Fiber ONT,Customer unhappy
20201,8393,J. Taylor,East,Huntersville,Install,2024/02/10,9:00am,9:00am,,No,,Signal Issue,Modem,Installed new modem
20202,8909,Maria G,North,Concord,Maint.,2024-01-21,9:00am,16:40,,yes,,Customer Not Home,N/A,Customer unhappy
20203,2571,Maria G,Suth,charlotte,Install,2024-02-16,09:5 AM,9:00am,180,no,No,Signal Issue,Router;Coax Cable,Customer unhappy
20204,,J. Smith,Suth,Charlotte,reapir,2024-4-10,12:3 pm,12:3 pm,43,no,No,Customer Not Home,,Installed new modem
20205,,John Smith,east,huntersvill,Instal,02/03/24,1:15 pm,8:15 AM,58,yes,,N/A,Fiber ONT,Technician running late
20206,,,Noth,Concord,Instal,03/14/24,12:3 pm,1:15 pm,40,No,Yes,N/A,Splitter,Customer unhappy
20207,N/A,J Smith,East,huntersvill,Repair,2024-3-28,07:50,14:22,N/A,Yes,Yes,N/A,,Technician running late
20208,,L P,Suth,Charlotte,Maint.,2024-1-15,14:22,14:22,170,Yes,Yes,,Modem,Installed new modem
20209,,,Noth,Huntersville,Maint.,2024-3-24,12:3 pm,8:15 AM,,No,,,,
20210,,Jess T.,South,Charlotte,Instal,2024/04/27,16:40,8:15 AM,N/A,yes,N,,Modem,Customer unhappy
20211,,Jess T.,Suth,Huntersville,reapir,2024-4-3,9:00am,07:50,,no,,Customer Not Home,Router;Coax Cable,Technician running late
20212,3604,Maria Gomez,Noth,charlotte,Install,01/23/24,07:50,8:15 AM,,Yes,Y,,Fiber ONT,Installed new modem
20213,,L P,Noth,concord,Repair,2024-03-28,07:50,16:40,,No,N,,None,Installed new modem
20214,,Jess T.,West,Huntersville,Install,2024-02-19,14:22,07:50,,yes,,N/A,Router;Coax Cable,
20215,N/A,Jessica T,North,Concord,Install,2024/01/29,1:15 pm,1:15 pm,N/A,no,Y,Equipment Failure,coax cable; modem,Installed new modem
20216,,Liam Peterson,West,Charlotte,maintenence,03-12-2024,1:15 pm,1:15 pm,47,yes,Y,,None,Installed new modem
20217,,John S.,North,Concord,install,2024-04-25,09:5 AM,16:40,,yes,Y,N/A,,
20218,N/A,M. Gomez,South,concord,Instal,2024/04/26,1:15 pm,14:22,N/A,Yes,N,Equipment Failure,N/A,Technician running late
20219,,Jessica T,West,charlotte,maintenence,2024/01/29,09:5 AM,16:40,86,yes,N,Signal Issue,coax cable; modem,
20220,,,South,Concord,Repair,2024-4-21,1:15 pm,09:5 AM,,No,Y,N/A,coax cable; modem,Customer unhappy
20221,N/A,J. Taylor,West,huntersvill,maintenence,03/21/24,16:40,8:15 AM,N/A,No,No,,Splitter,
20222,N/A,Liam Peterson,Noth,concord,Maint.,2024-2-21,12:3 pm,09:5 AM,29,No,,Customer Not Home,Router;Coax Cable,Installed new modem
20223,N/A,John Smith,East,concord,install,2024/01/29,1:15 pm,14:22,118,yes,No,Signal Issue,Router;Coax Cable,Installed new modem
